Address,First_Activity,Last_Activity,All_Addresses,Ward,Description,Proposed_Use,Storeys,Units,Planner,Num_apps,Apps,Supporting_Docs,Link
2450 VICTORIA PARK AVE,"Oct 30, 2017","Apr 05, 2018",['2450 VICTORIA PARK AVE'],33,"Zoning Bylaw Amendment application to permit the redevelopment of the property with two principal development sites (North and South). The proposal for the North site includes three condominium buildings: one 11-storey residential building (Building B) fronting onto Victoria Park Avenue and connected to a 39-storey residential building with retail at grade (Building C) fronting onto Consumers Road; the third building is a 44-storey residential building with retail at grade (Building D) connected by a eight storey building element to Building C (1,037 dwelling units and 1,026 parking spaces provided for in six levels of underground parking). The South site proposes one 11-storey residential building (210 units) with retail at grade and a public park of 2,915 square metres. The North and South sites are connected by a proposed new private, east-west road through the property and connecting to Hallcrown Place.",Mixed Use,44,1247,"Valeria Maurizio, Planner, 416-395-7052, Valeria.Maurizio@toronto.ca ",1.0,"[['Rezoning', '17 255293 NNY 33 OZ', 'Oct 30, 2017', 'OMB Appeal']]","['Planning Rationale: Oct 30, 2017: Download : : Community Services and Facilities Study: Oct 30, 2017: Download : : Pedestrian Level Wind Study: Oct 30, 2017: Download : : Toronto Green Standards Checklist: Oct 30, 2017: Download : : Noise Impact Study : Oct 30, 2017: Download : : Environmental Impact Study - Phase One: Oct 30, 2017: Download : : Environmental Impact Study - Phase 2: Oct 30, 2017: Download : : Transportation Impact Study: Oct 30, 2017: Download : : Servicing Report and Functional Stormwater Management Report - Part 1: Oct 30, 2017: Download : : Servicing Report and Stormwater Management Report - Part 2: Oct 30, 2017: Download : : Geotechnical Study: Oct 30, 2017: Download : : Arborist Report: Oct 30, 2017: Download : : Landscape and Tree Preservation Protection Plan: Oct 30, 2017: Download : : Application Form: Oct 30, 2017: Download : : Hydrogeological Report: Jan 3, 2018: Download : : Public Consultation Strategy: Apr 5, 2018: Download : : Survey Plans: Oct 30, 2017: Download : : Architectural Plans - Part 1: Oct 30, 2017: Download : : Architectural Plans - Part 2: Oct 30, 2017: Download : : Architectural Plans - Part 3: Oct 30, 2017: Download : : Civil and Utilities Plans: Oct 30, 2017: Download : : Project Data Sheet: Oct 30, 2017: Download : : Cover Letter: Oct 30, 2017: Download : : Energy Efficiency Report: Oct 30, 2017: Download : : Draft Zoning Bylaw Amendment FGZBL: Oct 30, 2017: Download : : Fee Schedules: Oct 30, 2017: Download : : Application Checklist: Oct 30, 2017: Download : : Disclaimer']",http://app.toronto.ca/DevelopmentApplications/associatedApplicationsList.do?action=init&folderRsn=4272491&isCofASearch=false&isTlabSearch=false
2450 VICTORIA PARK AVE,"Oct 30, 2017","Apr 05, 2018",['2450 VICTORIA PARK AVE'],33,"Zoning Bylaw Amendment application to permit the redevelopment of the property with two principal development sites (North and South). The proposal for the North site includes three condominium buildings: one 11-storey residential building (Building B) fronting onto Victoria Park Avenue and connected to a 39-storey residential building with retail at grade (Building C) fronting onto Consumers Road; the third building is a 44-storey residential building with retail at grade (Building D) connected by a eight storey building element to Building C (1,037 dwelling units and 1,026 parking spaces provided for in six levels of underground parking). The South site proposes one 11-storey residential building (210 units) with retail at grade and a public park of 2,915 square metres. The North and South sites are connected by a proposed new private, east-west road through the property and connecting to Hallcrown Place.",Mixed Use,44,1247,"Valeria Maurizio, Planner, 416-395-7052, Valeria.Maurizio@toronto.ca ",1.0,"[['Rezoning', '17 255293 NNY 33 OZ', 'Oct 30, 2017', 'OMB Appeal']]","['Planning Rationale: Oct 30, 2017: Download : : Community Services and Facilities Study: Oct 30, 2017: Download : : Pedestrian Level Wind Study: Oct 30, 2017: Download : : Toronto Green Standards Checklist: Oct 30, 2017: Download : : Noise Impact Study : Oct 30, 2017: Download : : Environmental Impact Study - Phase One: Oct 30, 2017: Download : : Environmental Impact Study - Phase 2: Oct 30, 2017: Download : : Transportation Impact Study: Oct 30, 2017: Download : : Servicing Report and Functional Stormwater Management Report - Part 1: Oct 30, 2017: Download : : Servicing Report and Stormwater Management Report - Part 2: Oct 30, 2017: Download : : Geotechnical Study: Oct 30, 2017: Download : : Arborist Report: Oct 30, 2017: Download : : Landscape and Tree Preservation Protection Plan: Oct 30, 2017: Download : : Application Form: Oct 30, 2017: Download : : Hydrogeological Report: Jan 3, 2018: Download : : Public Consultation Strategy: Apr 5, 2018: Download : : Survey Plans: Oct 30, 2017: Download : : Architectural Plans - Part 1: Oct 30, 2017: Download : : Architectural Plans - Part 2: Oct 30, 2017: Download : : Architectural Plans - Part 3: Oct 30, 2017: Download : : Civil and Utilities Plans: Oct 30, 2017: Download : : Project Data Sheet: Oct 30, 2017: Download : : Cover Letter: Oct 30, 2017: Download : : Energy Efficiency Report: Oct 30, 2017: Download : : Draft Zoning Bylaw Amendment FGZBL: Oct 30, 2017: Download : : Fee Schedules: Oct 30, 2017: Download : : Application Checklist: Oct 30, 2017: Download : : Disclaimer']",http://app.toronto.ca/DevelopmentApplications/associatedApplicationsList.do?action=init&folderRsn=4272491&isCofASearch=false&isTlabSearch=false
54 WILKINSON DR,"May 07, 2002","May 07, 2002","['19 A BRIAN DR ,19 B BRIAN DR ,21 A BRIAN DR ,21 B BRIAN DR ,23 BRIAN DR ,25 BRIAN DR ,16 DOUBLETREE RD ,18 DOUBLETREE RD ,19 DOUBLETREE RD ,20 DOUBLETREE RD ,21 DOUBLETREE RD ,22 DOUBLETREE RD ,23 DOUBLETREE RD ,24 DOUBLETREE RD ,25 DOUBLETREE RD ,26 DOUBLETREE RD ,27 DOUBLETREE RD ,29 DOUBLETREE RD ,0 WILKINSON DR ,46 WILKINSON DR ,48 WILKINSON DR ,50 WILKINSON DR ,52 WILKINSON DR ,54 WILKINSON DR ,56 WILKINSON DR']",33,Convey 24 semi-detached units into separate ownership (Brian Drive subdivision),---,0,24,"Tony D'Arpino, Manager, Plan Review, (416) 392-7632, Tony.DArpino@toronto.ca ",1.0,"[['Part Lot Control Exemption', '02 035669 NNY 33 PL', 'May 7, 2002', 'Open']]",[],http://app.toronto.ca/DevelopmentApplications/associatedApplicationsList.do?action=init&folderRsn=1332170&isCofASearch=false&isTlabSearch=false
185 YORKLAND BLVD,"Oct 30, 2007","Oct 30, 2007","['185 YORKLAND BLVD ,185 YORKLAND BLVD']",33,"Public self-storage warehouse building at the Ramada Inn Hotel site. C of A approval appealed by adjacent owner. OMB approval October 29, 2008. Notice of Approval Conditions issued December 18/08. File closed not built.",---,4,0,Information not available. ,1.0,"[['Site Plan Approval', '07 274545 NNY 33 SA', 'Oct 30, 2007', 'Circulated']]",[],http://app.toronto.ca/DevelopmentApplications/associatedApplicationsList.do?action=init&folderRsn=2009742&isCofASearch=false&isTlabSearch=false
104-110 BARTLEY DR,"Aug 01, 2017","Mar 21, 2018",['104-110 BARTLEY DR'],34,"Proposed development of 84 townhouses, including 67 freehold and 17 condominium units. The proposal also includes land conveyances for a public road and a public park.",Residential,4,88,"Cynthia Owusu-Gyimah, Planner, (416) 395-7126, Cynthia.Owusu-Gyimah@toronto.ca ",1.0,"[['Rezoning', '17 209538 NNY 34 OZ', 'Aug 1, 2017', 'Under Review']]","[""Planning Rationale: Mar 5, 2018: Download : : Planning Rationale Adendum: Mar 5, 2018: Download : : Sun/Shadow Study: Mar 5, 2018: Download : : Urban Design Guidelines: Aug 1, 2017: Download : : Toronto Green Standards Checklist: Mar 5, 2018: Download : : Stormwater Management Report: Mar 5, 2018: Download : : Environmental Impact Study: Aug 1, 2017: Download : : Traffic Operations Assessment: Mar 5, 2018: Download : : Transportation Impact Study: Aug 1, 2017: Download : : Servicing Report: Mar 5, 2018: Download : : Geotechnical Study: Aug 1, 2017: Download : : Arborist/Tree Preservation Report and/or Declaration: Mar 5, 2018: Download : : Application Form: Aug 1, 2017: Download : : Resubmission Form: Mar 5, 2018: Download : : Owner's_Letter_to_Toronto_Water: Mar 5, 2018: Download : : Survey Plans: Mar 5, 2018: Download : : Survey Plans: Mar 5, 2018: Download : : Architectural Plans: Mar 5, 2018: Download : : Civil and Utilities Plans Grading: Mar 5, 2018: Download : : Civil and Utilities Site_Servicing_Plan: Mar 5, 2018: Download : : Landscape and Lighting Plans: Mar 5, 2018: Download : : Project Data Sheet: Mar 21, 2018: Download : : Cover Letter: Mar 5, 2018: Download : : Draft Zoning Bylaw Amendment FGZBL: Mar 5, 2018: Download : : Disclaimer""]",http://app.toronto.ca/DevelopmentApplications/associatedApplicationsList.do?action=init&folderRsn=4218904&isCofASearch=false&isTlabSearch=false
196 BARTLEY DR,"Dec 21, 2017","Dec 21, 2017",['196 BARTLEY DR'],34,Site Plan application to construct a four-storey addition to the north side of the existing two-storey self-storage building.,---,4,0,"Sarah Ovens, Assistant Planner, 416-395-7129, Sarah.Ovens@toronto.ca ",1.0,"[['Site Plan Approval', '17 278270 NNY 34 SA', 'Dec 21, 2017', 'Under Review']]","['Toronto Green Standards Checklist: Dec 21, 2017: Download : : Stormwater Management Report: Dec 21, 2017: Download : : Parking Study: Dec 21, 2017: Download : : Geotechnical Study: Dec 21, 2017: Download : : Arborist Report: Dec 21, 2017: Download : : Tree Preservation Plan: Dec 21, 2017: Download : : Application Form: Dec 21, 2017: Download : : Hydrogeological Report: Dec 21, 2017: Download : : Survey Plans: Dec 21, 2017: Download : : Architectural Plans: Dec 21, 2017: Download : : Civil and Utilities Plans: Dec 21, 2017: Download : : Landscape and Lighting Plans: Dec 21, 2017: Download : : Project Data Sheet: Dec 21, 2017: Download : : Cover Letter: Dec 21, 2017: Download : : Application Checklist: Dec 21, 2017: Download : : Disclaimer']",http://app.toronto.ca/DevelopmentApplications/associatedApplicationsList.do?action=init&folderRsn=4299806&isCofASearch=false&isTlabSearch=false
188 BERMONDSEY RD,"Apr 05, 2016","Aug 08, 2017",['188 BERMONDSEY RD'],34,Construct a one storey recycling Bunker buildings with 526.0 square metres in gross floor area. In addition site improvements also include Timber stair replacement; concrete and asphalt pavement rehabilitation; repairs to existing building; emergency eye wash shower station. new parking area and entrance and driveway improvements,Non-Residential,0,0,"Valeria Maurizio, Planner, 416-395-7052, Valeria.Maurizio@toronto.ca ",1.0,"[['Site Plan Approval', '16 136124 NNY 34 SA', 'Apr 5, 2016', 'Final Approval Completed\xa0\xa0 Aug 8, 2017']]","['Stormwater Management Report: Apr 4, 2017: Download : : Geotechnical Study: Apr 4, 2017: Download : : Arborist/Tree Preservation Report and/or Declaration: Apr 4, 2017: Download : : Arborist/Tree Preservation Report and/or Declaration: Apr 4, 2017: Download : : Application Form: May 26, 2016: Download : : Resubmission Form: Apr 4, 2017: Download : : Linked Document: Apr 4, 2017: Download : : Linked Document: Apr 4, 2017: Download : : Survey Plans: Apr 5, 2016: Download : : Survey Plans Topo plan_Bermondsey: Apr 5, 2016: Download : : Architectural Plans: Apr 4, 2017: Download : : Civil and Utilities Plans: Apr 4, 2017: Download : : Landscape and Lighting Plans: Apr 4, 2017: Download : : Project Data Sheet: Apr 4, 2017: Download : : Cover Letter: May 26, 2016: Download : : Disclaimer']",http://app.toronto.ca/DevelopmentApplications/associatedApplicationsList.do?action=init&folderRsn=3927041&isCofASearch=false&isTlabSearch=false
71 CURLEW DR,"Apr 19, 2017","Apr 05, 2018",['71 CURLEW DR'],34,6 four storey town houses with 1 storey below grade parking structure.,---,,,"Valeria Maurizio, Planner, 416-395-7052, Valeria.Maurizio@toronto.ca ",2.0,"[['Site Plan Approval', '17 145896 NNY 34 SA', 'Apr 19, 2017', 'Under Review'], ['Rezoning', '17 145887 NNY 34 OZ', 'Apr 19, 2017', 'Under Review']]","['Planning Rationale: Apr 19, 2017: Download : : Community Services and Facilities Study: Apr 19, 2017: Download : : Toronto Green Standards Checklist: Dec 4, 2017: Download : : Noise Impact Study : Apr 19, 2017: Download : : Stormwater Management Report: Feb 15, 2018: Download : : Environmental Impact Study: Apr 19, 2017: Download : : Environmental Impact Study: Apr 19, 2017: Download : : Transportation Impact Study: Dec 4, 2017: Download : : FSR & SWMR: Mar 6, 2018: Download : : FSR & SWMR: Mar 6, 2018: Download : : Geotechnical Study: Dec 4, 2017: Download : : Arborist Report: Dec 4, 2017: Download : : Application Form: Apr 19, 2017: Download : : Resubmission Form: Mar 6, 2018: Download : : Geohydrology Response Memo: Jan 30, 2018: Download : : Geohydrology Assessment: Jan 30, 2018: Download : : Detailed Revision List Servicing Response: Feb 14, 2018: Download : : Survey Plans: Dec 4, 2017: Download : : Architectural Plans: Mar 19, 2018: Download : : Architectural Plans: Mar 19, 2018: Download : : Civil and Utilities Plans: Mar 6, 2018: Download : : Landscape and Lighting Plans: Dec 4, 2017: Download : : Servicing Response Memo: Dec 7, 2017: Download : : Project Data Sheet: Mar 6, 2018: Download : : Cover Letter: Feb 14, 2018: Download : : Draft Zoning Bylaw Amendment 569-2013: Dec 4, 2017: Download : : Energy Efficiency Report: Dec 4, 2017: Download : : Draft Zoning Bylaw Amendment FGZBL: Apr 5, 2018: Download : : PLN - Draft Zoning By-Law Amendment 569-2013 (Word Copy): Apr 5, 2018: Download : : Fee Schedules: Apr 19, 2017: Download : : Fee Schedules: Apr 19, 2017: Download : : Disclaimer']",http://app.toronto.ca/DevelopmentApplications/associatedApplicationsList.do?action=init&folderRsn=4141085&isCofASearch=false&isTlabSearch=false
200 DAVID DUNLAP CRCL,"Apr 29, 2013","May 25, 2016",['200 DAVID DUNLAP CRCL'],34,"Rezoning application to permit 70, 3-storey townhouse units fronting David Dunlap Circle and a proposed 16.5 metre wide public road. The proposal has a gross floor area of 12,769 square metres resulting in a density of 1.5 FSI. A total of 136 spaces are proposed.",Residential,4,63,"Guy Matthew, Senior Planner, (416) 395-7102, Guy.Matthew@toronto.ca ",3.0,"[['Rezoning', '13 158583 NNY 34 OZ', 'Apr 29, 2013', 'OMB Approved'], ['Subdivision Approval', '13 158593 NNY 34 SB', 'Apr 29, 2013', 'OMB Approved'], ['Site Plan Approval', '13 158597 NNY 34 SA', 'Apr 29, 2013', 'OMB Approved']]","['Toronto Green Standards Checklist: May 25, 2016: Download : : Noise Impact Study : May 25, 2016: Download : : Vibration Study: May 25, 2016: Download : : Stormwater Management Report: May 25, 2016: Download : : Arborist/Tree Preservation Report and/or Declaration: May 25, 2016: Download : : Resubmission Form: May 25, 2016: Download : : Survey Plans: Jun 18, 2015: Download : : Architectural Plans ARCH 1: May 24, 2016: Download : : Architectural Plans ARCH 2: May 24, 2016: Download : : Architectural Plans rendering: May 24, 2016: Download : : Civil and Utilities Plans: May 25, 2016: Download : : Civil and Utilities Plans: May 25, 2016: Download : : Landscape and Lighting Plans: May 25, 2016: Download : : Correspondence: Jun 18, 2015: Download : : Correspondence: Jun 18, 2015: Download : : Project Data Sheet: May 25, 2016: Download : : Cover Letter: May 25, 2016: Download : : Disclaimer']",http://app.toronto.ca/DevelopmentApplications/associatedApplicationsList.do?action=init&folderRsn=3343333&isCofASearch=false&isTlabSearch=false
895 DON MILLS RD,"Oct 16, 2012","Sep 13, 2013",['895 DON MILLS RD'],34,Surface parking lot - 55 cars ***DO NOT RELEASE LC UNTIL AGREEMENT IS SIGNED***,---,,,"Guy Matthew, Senior Planner, (416) 395-7102, Guy.Matthew@toronto.ca ",1.0,"[['Site Plan Approval', '12 263710 NNY 34 SA', 'Oct 16, 2012', 'NOAC Issued\xa0\xa0 Sep 13, 2013']]",[],http://app.toronto.ca/DevelopmentApplications/associatedApplicationsList.do?action=init&folderRsn=3233563&isCofASearch=false&isTlabSearch=false
905 DON MILLS RD,"Dec 22, 2016","Feb 07, 2018",['905 DON MILLS RD'],34,"Revision: The applicant is proposing a 10-storey retirement residence consisting of 143 residential units. Access to the site is from a single driveway off of Green Belt Drive, with a ramp to the underground parking garage at the north end of the building. 54 parking spaces are proposed within the underground parking garage.The proposal has an FSI of 4.01. The existing automotive repair facility will be demolished. Original proposal: The applicant is proposing a 10-storey retirement residence consisting of 164 residential units. Access to the site is from a single driveway off of Green Belt Drive, with a ramp to the underground parking garage at the north end of the building. 54 parking spaces are proposed within the underground parking garage.The proposal has an FSI of 4.53. The existing automotive repair facility will be demolished.",Residential,10,143,"Kathryn Moore, Planner, 416-395-7176, Kathryn.Moore@toronto.ca ",1.0,"[['OPA & Rezoning', '16 269987 NNY 34 OZ', 'Dec 22, 2016', 'Under Review']]","['Planning Rationale: Dec 22, 2016: Download : : Wind Addendum: Jan 15, 2018: Download : : Noise Impact Study : Dec 22, 2016: Download : : Stormwater Management Report: Dec 22, 2016: Download : : Stormwater Management Report: Dec 22, 2016: Download : : Parking Study Loading and Traffic Assessment: Dec 22, 2016: Download : : Environmental Impact Study: Dec 22, 2016: Download : : Environmental Impact Study: Dec 22, 2016: Download : : Geotechnical Study HydroG: Feb 7, 2018: Download : : Arborist Report: Jan 15, 2018: Download : : Tree Preservation Plan: Jan 15, 2018: Download : : Application Form: Dec 22, 2016: Download : : Resubmission Form: Feb 7, 2018: Download : : Linked Document: Feb 7, 2018: Download : : Survey Plans: Dec 22, 2016: Download : : Architectural Plans: Jan 15, 2018: Download : : Landscape and Lighting Plans: Jan 15, 2018: Download : : Project Data Sheet: Feb 7, 2018: Download : : Cover Letter: Mar 10, 2017: Download : : PLN - Draft Zoning By-Law Amendment 569-2013: Jan 15, 2018: Download : : PLN - Draft Zoning Bylaw Amendment FGZBL: Jan 15, 2018: Download : : Draft Official Plan Amendment: Jan 15, 2018: Download : : Application Checklist: Dec 22, 2016: Download : : Disclaimer']",http://app.toronto.ca/DevelopmentApplications/associatedApplicationsList.do?action=init&folderRsn=4083941&isCofASearch=false&isTlabSearch=false
1299 DON MILLS RD,"Dec 23, 2016","Mar 09, 2017",['1299 DON MILLS RD'],34,Applications to amend the Zoning By-law to relocate the existing George Gray House and to divide the subject property to create four lots. Three of the lots would be occupied by single family detached dwellings. One lot would be occupied by the George Gray House and would contain office uses on the ground floor with residential above.,Mixed Use,2,3,"Sarah Ovens, Assistant Planner, 416-395-7129, Sarah.Ovens@toronto.ca ",1.0,"[['Rezoning', '16 270499 NNY 34 OZ', 'Dec 23, 2016', 'Under Review']]","['Planning Rationale: Dec 23, 2016: Download : : Toronto Green Standards Checklist: Dec 23, 2016: Download : : Heritage Impact Statement: Dec 23, 2016: Download : : Stormwater Management Report: Dec 23, 2016: Download : : Parking Study: Dec 23, 2016: Download : : Arborist/Tree Preservation Report and/or Declaration: Mar 9, 2017: Download : : Application Form: Dec 23, 2016: Download : : Resubmission Form: Mar 9, 2017: Download : : HydroGReport: Mar 9, 2017: Download : : Survey Plans: Dec 23, 2016: Download : : Survey Plans: Dec 23, 2016: Download : : Architectural Plans: Dec 23, 2016: Download : : Civil and Utilities Plans: Dec 23, 2016: Download : : Civil and Utilities Plans: Dec 23, 2016: Download : : Project Data Sheet: Mar 9, 2017: Download : : Project Data Sheet: Mar 9, 2017: Download : : Cover Letter: Mar 9, 2017: Download : : Draft Zoning Bylaw Amendment 569-2013: Dec 23, 2016: Download : : Energy Efficiency Report: Dec 23, 2016: Download : : Draft Zoning Bylaw Amendment FGZBL: Dec 23, 2016: Download : : Fee Schedules: Dec 23, 2016: Download : : Application Checklist: Dec 23, 2016: Download : : Disclaimer']",http://app.toronto.ca/DevelopmentApplications/associatedApplicationsList.do?action=init&folderRsn=4084727&isCofASearch=false&isTlabSearch=false
1390 DON MILLS RD,"Oct 06, 2011","Feb 25, 2014","['1390 DON MILLS RD ,1390 DON MILLS RD']",34,"This is an application to register a standard condominium comprised of 5 one-storey commercial buildings, having a total of 70 units.",---,,,"Michelle Corcoran, Planner, (416) 395-7130, Michelle.Corcoran@toronto.ca ",2.0,"[['Condominium Approval', '13 153951 NNY 34 CD', 'Apr 19, 2013', 'Draft Plan Approved\xa0\xa0 Feb 25, 2014'], ['Site Plan Approval', '11 288686 NNY 34 SA', 'Oct 6, 2011', 'Closed']]",[],http://app.toronto.ca/DevelopmentApplications/associatedApplicationsList.do?action=init&folderRsn=3003385&isCofASearch=false&isTlabSearch=false
150 DUNCAN MILL RD,"Sep 29, 2017","Jan 29, 2018",['150 DUNCAN MILL RD'],34,Site Plan application to permit a self storage warehouse within the existing building,---,1,0,"Valeria Maurizio, Planner, 416-395-7052, Valeria.Maurizio@toronto.ca ",1.0,"[['Site Plan Approval', '17 241092 NNY 34 SA', 'Sep 29, 2017', 'Under Review']]","['Toronto Green Standards Checklist: Sep 29, 2017: Download : : Parking Study: Jan 29, 2018: Download : : Servicing Report: Oct 16, 2017: Download : : Arborist Report: Jan 29, 2018: Download : : Application Form: Oct 16, 2017: Download : : Resubmission Form: Jan 29, 2018: Download : : Topographical Survey: Jan 29, 2018: Download : : Tree Inventory: Jan 29, 2018: Download : : Servicing Memo: Jan 29, 2018: Download : : Grading Plan: Jan 29, 2018: Download : : Erosion and Sediment Plan: Jan 29, 2018: Download : : Confirmation of Ownership: Jan 29, 2018: Download : : Detailed Revision List: Jan 29, 2018: Download : : Survey Plans: Jan 29, 2018: Download : : Survey Plans: Jan 29, 2018: Download : : Architectural Plans: Jan 29, 2018: Download : : Civil and Utilities Plans: Jan 29, 2018: Download : : Landscape and Lighting Plans: Jan 29, 2018: Download : : TRCA Correspondence: Jan 29, 2018: Download : : Correspondence: Jan 29, 2018: Download : : Project Data Sheet: Jan 29, 2018: Download : : Cover Letter: Jan 29, 2018: Download : : Application Checklist: Sep 29, 2017: Download : : Disclaimer']",http://app.toronto.ca/DevelopmentApplications/associatedApplicationsList.do?action=init&folderRsn=4255591&isCofASearch=false&isTlabSearch=false
275 DUNCAN MILL RD,"Mar 31, 2017","Apr 19, 2018",['275 DUNCAN MILL RD'],34,"To permit the construction of a two-storey addition to the existing Bayview Glen private school, to house the recreation facilities that are currently outdoors.",Non-Residential,3,0,"Sarah Ovens, Assistant Planner, 416-395-7129, Sarah.Ovens@toronto.ca ",1.0,"[['Site Plan Approval', '17 137298 NNY 34 SA', 'Mar 31, 2017', 'Under Review']]","['Natural Heritage Impact Study: Mar 31, 2017: Download : : Toronto Green Standards Checklist: Mar 31, 2017: Download : : Loading Study: Mar 31, 2017: Download : : Stormwater Management Report: Apr 19, 2018: Download : : Traffic Operations Assessment: Apr 19, 2018: Download : : Transportation Impact Study: Apr 19, 2018: Download : : Servicing Report: Nov 13, 2017: Download : : Geotechnical Study: Mar 31, 2017: Download : : Arborist Report: Nov 13, 2017: Download : : Application Form: Mar 31, 2017: Download : : Resubmission Form: Apr 19, 2018: Download : : Hydrogeological Report: Apr 19, 2018: Download : : Detailed Revision List: Apr 19, 2018: Download : : Survey Plans: Mar 31, 2017: Download : : Survey Plans: Mar 31, 2017: Download : : Architectural Plans: Apr 19, 2018: Download : : Civil and Utilities Plans: Apr 19, 2018: Download : : Landscape and Lighting Plans: Apr 19, 2018: Download : : Project Data Sheet: Apr 19, 2018: Download : : Cover Letter: Apr 19, 2018: Download : : Energy Efficiency Report: Mar 31, 2017: Download : : Fee Schedules: Mar 31, 2017: Download : : Application Checklist: Mar 31, 2017: Download : : Disclaimer']",http://app.toronto.ca/DevelopmentApplications/associatedApplicationsList.do?action=init&folderRsn=4131093&isCofASearch=false&isTlabSearch=false
135 FENELON DR,"Dec 22, 2016","Apr 06, 2018",['135 FENELON DR'],34,"This is an application to amend the Zoning By-law to permit two infill mid-rise apartment buildings that are 6 and 8 storeys in height. The 6 storey residential building (north building) would consist of 123 rental units with a gross floor area of 8,362 square metres. The 8 storey mixed-use building (south building) would consist of 126 rental units with a gross floor area of 7,861 square metres and commercial space with a gross floor area of 298.59 square metres. The existing 19 storey apartment building consisting of 218 rental units will be retained. Together, the entire site would consist of 467 rental units and a gross floor area of 38,498.84 square metres.",Mixed Use,10,249,"John Lyon, Senior Planner, (416) 395-7095, John.Lyon@toronto.ca ",1.0,"[['Rezoning', '16 270142 NNY 34 OZ', 'Dec 22, 2016', 'OMB Appeal']]","['Planning Rationale: Dec 23, 2016: Download : : Community Services and Facilities Study: Dec 23, 2016: Download : : Pedestrian Level Wind Study: Dec 23, 2016: Download : : Housing Issues Report: Dec 23, 2016: Download : : Toronto Green Standards Checklist: Apr 6, 2018: Download : : Stormwater Management Report: Dec 23, 2016: Download : : Transportation Impact Study: Apr 6, 2018: Download : : Servicing Report: Apr 6, 2018: Download : : Geotechnical Study: Dec 23, 2016: Download : : Arborist/Tree Preservation Report and/or Declaration: Apr 6, 2018: Download : : Application Form: Dec 23, 2016: Download : : Resubmission Form: Apr 6, 2018: Download : : Rental Housing Demo and Conversion Screening Form: Apr 6, 2018: Download : : Detailed Revision List: Apr 6, 2018: Download : : Survey Plans: Dec 23, 2016: Download : : Architectural Plans: Apr 6, 2018: Download : : Civil and Utilities Plans: Apr 6, 2018: Download : : Landscape and Lighting Plans: Apr 6, 2018: Download : : Project Data Sheet: Apr 6, 2018: Download : : Cover Letter: Apr 6, 2018: Download : : Application Checklist: Dec 23, 2016: Download : : Disclaimer']",http://app.toronto.ca/DevelopmentApplications/associatedApplicationsList.do?action=init&folderRsn=4084177&isCofASearch=false&isTlabSearch=false
20 GRAYDON HALL DR,"Oct 05, 2006","Feb 14, 2018","['18 GRAYDON HALL DR ,20 GRAYDON HALL DR ,20 GRAYDON HALL DR']",34,This is an application to amend the registered Site Plan Control agreement (File No. 07 161885 NNY 34 SA) in connection with a residential development currently under construction at 18 Graydon Hall Drive. The application seeks approval on a permanant dewatering solution for the site.,---,,,"Sarah Ovens, Assistant Planner, 416-395-7129, Sarah.Ovens@toronto.ca ",5.0,"[['Site Plan Approval', '15 113120 NNY 34 SA', 'Feb 6, 2015', 'NOAC Issued\xa0\xa0 Jan 22, 2018'], ['Condominium Approval', '14 212731 NNY 34 CD', 'Aug 27, 2014', 'Draft Plan Approved\xa0\xa0 Feb 14, 2018'], ['Site Plan Approval', '12 211974 NNY 34 SA', 'Jul 16, 2012', 'Closed'], ['Site Plan Approval', '07 161885 NNY 34 SA', 'Apr 19, 2007', 'Closed'], ['Rezoning', '06 181792 NNY 34 OZ', 'Oct 5, 2006', 'Closed']]","['Stormwater Management Report: Feb 22, 2017: Download : : Stormwater Management Report: Feb 22, 2017: Download : : Servicing Report: Jan 17, 2017: Download : : Application Form: Feb 9, 2015: Download : : Resubmission Form: Sep 22, 2017: Download : : Linked Document: Aug 25, 2017: Download : : Linked Document: Aug 25, 2017: Download : : Detailed Revision List: Jul 7, 2017: Download : : Survey Plans: May 15, 2017: Download : : Architectural Plans: Sep 22, 2017: Download : : Civil and Utilities Plans: Sep 22, 2017: Download : : Landscape and Lighting Plans: Aug 25, 2017: Download : : Cover Letter: Sep 22, 2017: Download : : Disclaimer']",http://app.toronto.ca/DevelopmentApplications/associatedApplicationsList.do?action=init&folderRsn=1761884&isCofASearch=false&isTlabSearch=false
